Number,Count,,,
0,36959093,,70+,576617
1,18792580,,50-69,622069
2,11960090,,35-49,795327
3,8032293,,25-34,954078
4,5367215,,18-24,1225059
5,3810156,,13-17,1729306
6,2637615,,9-12,3163971
7,1959110,,5-8,9822302
8,1415421,,3-4,13399508
9,1103719,,2,11960090
10,834239,,1,18792580
11,683673,,0,36959093
12,542340,,,
13,463002,,,
14,382330,,,
15,336766,,,
16,287584,,,
17,259624,,,
18,226102,,,
19,208157,,,
20,184600,,,
21,172861,,,
22,154917,,,
23,145799,,,
24,132623,,,
25,125255,,,
26,115262,,,
27,109406,,,
28,101252,,,
29,96215,,,
30,89879,,,
31,86470,,,
32,80251,,,
33,77142,,,
34,72946,,,
35,70123,,,
36,65696,,,
37,63781,,,
38,60939,,,
39,58107,,,
40,55309,,,
41,54088,,,
42,51433,,,
43,50325,,,
44,48148,,,
45,46734,,,
46,44500,,,
47,43524,,,
48,41582,,,
49,41038,,,
50,39406,,,
51,38206,,,
52,37012,,,
53,36155,,,
54,35074,,,
55,34424,,,
56,33117,,,
57,32695,,,
58,31754,,,
59,31062,,,
60,29823,,,
61,29412,,,
62,28668,,,
63,28167,,,
64,27834,,,
65,27022,,,
66,26479,,,
67,25760,,,
68,25277,,,
69,24722,,,
70,24347,,,
71,24068,,,
72,23619,,,
73,22818,,,
74,22530,,,
75,22228,,,
76,21741,,,
77,21572,,,
78,21147,,,
79,20842,,,
80,20410,,,
81,19841,,,
82,19779,,,
83,19223,,,
84,19136,,,
85,18655,,,
86,18622,,,
87,18126,,,
88,17898,,,
89,17837,,,
90,17663,,,
91,17237,,,
92,17151,,,
93,17015,,,
94,16713,,,
95,16795,,,
96,16158,,,
97,16010,,,
98,14627,,,
99,12809,,,
100,0,,,
